(0, 1, 11)
(0, 2, 3)
(0, 3, 0)
(1, 0, 12)
(1, 1, 12)
(1, 2, 4)
(1, 3, 1)
(2, 0, 4)
(2, 1, 12)
(2, 2, 9)
(2, 3, 6)
(3, 0, 12)
(3, 1, 12)
(3, 2, 4)
(3, 3, 7)
(3, 4, 19)
(4, 0, 12)
(4, 1, 13)
(4, 2, 5)
(4, 3, 2)
(5, 0, 4)
(6, 0, 12)
(7, 0, 12)
(7, 1, 11)
(7, 2, 3)
(7, 3, 8)
(7, 4, 0)
(8, 0, 12)
(8, 1, 12)
(8, 2, 4)
(8, 3, 9)
(8, 4, 1)
(9, 0, 12)
(9, 1, 13)
(9, 2, 10)
(9, 3, 5)
(9, 4, 2)
(10, 0, 4)
(11, 0, 12)
(11, 1, 11)
(11, 2, 8)
(11, 3, 0)
(12, 0, 12)
(12, 1, 4)
(12, 2, 12)
(12, 3, 6)
(12, 4, 15)
(13, 0, 4)
(13, 1, 12)
(13, 2, 9)
(13, 3, 7)
(13, 4, 16)
(14, 0, 12)
(14, 1, 13)
(14, 2, 5)
(14, 3, 2)
(15, 0, 12)
(16, 0, 12)
(16, 1, 12)
(16, 2, 11)
(16, 3, 8)
(16, 4, 0)
(17, 0, 12)
(17, 1, 12)
(17, 2, 12)
(17, 3, 9)
(17, 4, 6)
(18, 0, 12)
(18, 1, 13)
(18, 2, 10)
(18, 3, 5)
(18, 4, 2)
(18, 5, 17)
(19, 0, 12)
(20, 0, 12)
(20, 1, 11)
(20, 2, 8)
(20, 3, 8)
(20, 4, 3)
(20, 5, 0)
(21, 0, 12)
(21, 1, 9)
(21, 2, 4)
(21, 3, 12)
(21, 4, 4)
(21, 5, 1)
(22, 0, 12)
(22, 1, 12)
(22, 2, 13)
(22, 3, 5)
(22, 4, 10)
(22, 5, 2)
(23, 0, 12)
(23, 1, 12)
(24, 0, 12)
(24, 1, 12)
(24, 2, 11)
(24, 3, 3)
(24, 4, 0)
(25, 0, 4)
(25, 1, 9)
(25, 2, 12)
(25, 3, 4)
(25, 4, 7)
(26, 0, 4)
(26, 1, 12)
(26, 2, 4)
(26, 3, 9)
(26, 4, 6)
(27, 0, 12)
(27, 1, 13)
(27, 2, 10)
(27, 3, 5)
(27, 4, 2)
(30, 5, 11)
(30, 6, 0)
(31, 5, 13)
(31, 6, 2)
(31, 7, 18)
(34, 7, 11)
(34, 8, 0)
