

(16, 32, 15)
(60, 1, 12)
(60, 2, 12)
(60, 3, 6)
(61, 1, 12)
(61, 2, 12)
(61, 3, 7)
(61, 4, 17)
(62, 1, 13)
(62, 2, 5)
(62, 3, 2)
(0, 1, 8)
(0, 2, 3)
(0, 3, 0)
(1, 0, 12)
(1, 1, 12)
(1, 2, 4)
(1, 3, 1)
(2, 0, 4)
(2, 1, 12)
(2, 2, 9)
(2, 3, 6)
(3, 0, 12)
(3, 1, 12)
(3, 2, 4)
(3, 3, 7)
(3, 4, 14)
(4, 0, 4)
(4, 1, 12)
(4, 2, 12)
(4, 3, 6)
(4, 4, 17)
(5, 0, 9)
(5, 1, 12)
(5, 2, 12)
(5, 3, 7)
(5, 4, 15)
(6, 0, 4)
(6, 1, 12)
(6, 2, 12)
(6, 3, 6)
(6, 4, 16)
(7, 0, 12)
(7, 1, 12)
(7, 2, 4)
(7, 3, 7)
(7, 4, 17)
(8, 0, 12)
(8, 1, 12)
(8, 2, 12)
(8, 3, 7)
(8, 4, 15)
(9, 0, 9)
(9, 1, 4)
(9, 2, 12)
(9, 3, 6)
(9, 4, 16)
(10, 0, 13)
(10, 1, 5)
(10, 2, 5)
(10, 3, 2)
(10, 4, 17)
(14, 3, 11)
(14, 4, 0)
(15, 3, 4)
(15, 4, 6)
(16, 3, 12)
(16, 4, 7)
(16, 5, 14)
(17, 2, 13)
(17, 3, 2)
(2, 4, 11)
(20, 4, 0)
(21, 0, 12)
(11, 1, 12)
(11, 2, 12)
(11, 3, 12)
(11, 4, 12)
(11, 5, 12)
(11, 6, 12)
(11, 7, 6)
(12, 0, 12)
(12, 1, 12)
(12, 2, 12)
(12, 3, 12)
(12, 4, 12)
(12, 5, 12)
(12, 6, 12)
(12, 7, 7)
(13, 0, 12)
(13, 1, 12)
(13, 2, 12)
(13, 3, 12)
(13, 4, 12)
(13, 5, 12)
(13, 6, 12)
(13, 7, 6)
(14, 0, 12)
(14, 1, 12)
(14, 2, 12)
(14, 3, 12)
(14, 4, 12)
(14, 5, 12)
(14, 6, 12)
(14, 7, 1)
(15, 0, 13)
(15, 1, 5)
(15, 2, 5)
(15, 3, 10)
(15, 4, 5)
(15, 5, 10)
(15, 6, 5)
(15, 7, 2)
(16, 0, 12)
(16, 1, 12)
(16, 2, 12)
(16, 3, 12)
(16, 4, 6)
(17, 0, 12)
(17, 1, 4)
(17, 2, 12)
(17, 3, 12)
(17, 4, 7)
(18, 0, 12)
(18, 1, 12)
(18, 2, 12)
(18, 3, 12)
(18, 4, 7)
(19, 0, 12)
(19, 1, 12)
(19, 2, 12)
(19, 3, 4)
(19, 4, 6)
(20, 0, 13)
(20, 1, 5)
(20, 2, 10)
(20, 3, 5)
(20, 4, 2)
(21, 0, 12)
(21, 1, 12)
(21, 2, 12)
(21, 3, 7)
(22, 0, 12)
(22, 1, 12)
(22, 2, 12)
(22, 3, 6)
(23, 0, 12)
(23, 1, 12)
(23, 2, 12)
(23, 3, 7)
(24, 0, 4)
(24, 1, 12)
(24, 2, 12)
(24, 3, 6)
(25, 0, 13)
(25, 1, 10)
(25, 2, 5)
(25, 3, 2)
(30, 4, 11)
(30, 5, 0)
(31, 4, 4)
(31, 5, 6)
(32, 4, 9)
(32, 5, 7)
(33, 4, 12)
(33, 5, 1)
(34, 4, 12)
(34, 5, 7)
(35, 4, 13)
(35, 5, 2)
(38, 1, 11)
(38, 2, 8)
(38, 3, 0)
(38, 1, 12)
(38, 2, 12)
(38, 3, 12)
(38, 4, 6)
(39, 0, 12)
(39, 1, 12)
(39, 2, 12)
(39, 3, 12)
(39, 4, 12)
(39, 5, 12)
(39, 6, 12)
(39, 7, 4)
(39, 8, 4)
(39, 9, 12)
(39, 10, 12)
(39, 11, 1)
(40, 1, 12)
(40, 2, 12)
(40, 3, 9)
(40, 4, 12)
(40, 5, 12)
(40, 6, 12)
(40, 7, 12)
(40, 8, 12)
(40, 9, 6)
(41, 7, 13)
(41, 8, 5)
(41, 9, 2)
(45, 4, 11)
(44, 5, 8)
(44, 6, 10)
(44, 7, 5)
(44, 8, 0)
(45, 0, 12)
(45, 1, 12)
(45, 2, 12)
(45, 3, 4)
(45, 4, 6)
(45, 5, 12)
(45, 6, 7)
(46, 1, 12)
(46, 2, 4)
(46, 3, 11)
(47, 3, 8)
(47, 4, 8)
(47, 5, 8)
(47, 6, 8)
(48, 7, 3)
(48, 8, 8)
(48, 9, 8)
(48, 10, 3)
(48, 11, 0)
(49, 4, 12)
(49, 5, 12)
(49, 6, 12)
(49, 7, 12)
(49, 8, 12)
(49, 9, 12)
(49, 10, 12)
(49, 11, 6)
(50, 4, 12)
(50, 5, 12)
(50, 6, 12)
(50, 7, 12)
(50, 8, 12)
(50, 9, 12)
(50, 10, 12)
(50, 11, 7)
(51, 4, 12)
(51, 5, 12)
(51, 6, 12)
(51, 7, 12)
(51, 8, 12)
(51, 9, 6)
(52, 1, 12)
(52, 2, 12)
(52, 3, 12)
(52, 4, 12)
(52, 5, 12)
(52, 6, 12)
(52, 7, 12)
(52, 8, 12)
(52, 9, 12)
(52, 10, 12)
(52, 11, 6)
(53, 4, 13)
(53, 5, 5)
(53, 6, 10)
(53, 7, 5)
